Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	1.e-003	0.	-1.e-003	
2	1.e-003	0.	1.e-003	
3	1.e-003	0.	-9.2593e-004	
4	1.e-003	0.	-8.5185e-004	
5	1.e-003	0.	-7.7778e-004	
6	1.e-003	0.	-7.037e-004	
7	1.e-003	0.	-6.2963e-004	
8	1.e-003	0.	-5.5556e-004	
9	1.e-003	0.	-4.8148e-004	
10	1.e-003	0.	-4.0741e-004	
11	1.e-003	0.	-3.3333e-004	
12	1.e-003	0.	-2.5926e-004	
13	1.e-003	0.	-1.8519e-004	
14	1.e-003	0.	-1.1111e-004	
15	1.e-003	0.	-3.7037e-005	
16	1.e-003	0.	3.7037e-005	
17	1.e-003	0.	1.1111e-004	
18	1.e-003	0.	1.8519e-004	
19	1.e-003	0.	2.5926e-004	
20	1.e-003	0.	3.3333e-004	
21	1.e-003	0.	4.0741e-004	
22	1.e-003	0.	4.8148e-004	
23	1.e-003	0.	5.5556e-004	
24	1.e-003	0.	6.2963e-004	
25	1.e-003	0.	7.037e-004	
26	1.e-003	0.	7.7778e-004	
27	1.e-003	0.	8.5185e-004	
28	1.e-003	0.	9.2593e-004	
29	1.e-003	5.e-005	-1.e-003	
30	1.e-003	5.e-005	1.e-003	
31	1.e-003	5.e-005	9.2593e-004	
32	1.e-003	5.e-005	8.5185e-004	
33	1.e-003	5.e-005	7.7778e-004	
34	1.e-003	5.e-005	7.037e-004	
35	1.e-003	5.e-005	6.2963e-004	
36	1.e-003	5.e-005	5.5556e-004	
37	1.e-003	5.e-005	4.8148e-004	
38	1.e-003	5.e-005	4.0741e-004	
39	1.e-003	5.e-005	3.3333e-004	
40	1.e-003	5.e-005	2.5926e-004	
41	1.e-003	5.e-005	1.8519e-004	
42	1.e-003	5.e-005	1.1111e-004	
43	1.e-003	5.e-005	3.7037e-005	
44	1.e-003	5.e-005	-3.7037e-005	
45	1.e-003	5.e-005	-1.1111e-004	
46	1.e-003	5.e-005	-1.8519e-004	
47	1.e-003	5.e-005	-2.5926e-004	
48	1.e-003	5.e-005	-3.3333e-004	
49	1.e-003	5.e-005	-4.0741e-004	
50	1.e-003	5.e-005	-4.8148e-004	
51	1.e-003	5.e-005	-5.5556e-004	
52	1.e-003	5.e-005	-6.2963e-004	
53	1.e-003	5.e-005	-7.037e-004	
54	1.e-003	5.e-005	-7.7778e-004	
55	1.e-003	5.e-005	-8.5185e-004	
56	1.e-003	5.e-005	-9.2593e-004	
57	-1.e-003	0.	1.e-003	
58	9.2593e-004	0.	1.e-003	
59	8.5185e-004	0.	1.e-003	
60	7.7778e-004	0.	1.e-003	
61	7.037e-004	0.	1.e-003	
62	6.2963e-004	0.	1.e-003	
63	5.5556e-004	0.	1.e-003	
64	4.8148e-004	0.	1.e-003	
65	4.0741e-004	0.	1.e-003	
66	3.3333e-004	0.	1.e-003	
67	2.5926e-004	0.	1.e-003	
68	1.8519e-004	0.	1.e-003	
69	1.1111e-004	0.	1.e-003	
70	3.7037e-005	0.	1.e-003	
71	-3.7037e-005	0.	1.e-003	
72	-1.1111e-004	0.	1.e-003	
73	-1.8519e-004	0.	1.e-003	
74	-2.5926e-004	0.	1.e-003	
75	-3.3333e-004	0.	1.e-003	
76	-4.0741e-004	0.	1.e-003	
77	-4.8148e-004	0.	1.e-003	
78	-5.5556e-004	0.	1.e-003	
79	-6.2963e-004	0.	1.e-003	
80	-7.037e-004	0.	1.e-003	
81	-7.7778e-004	0.	1.e-003	
82	-8.5185e-004	0.	1.e-003	
83	-9.2593e-004	0.	1.e-003	
84	-1.e-003	5.e-005	1.e-003	
85	-9.2593e-004	5.e-005	1.e-003	
86	-8.5185e-004	5.e-005	1.e-003	
87	-7.7778e-004	5.e-005	1.e-003	
88	-7.037e-004	5.e-005	1.e-003	
89	-6.2963e-004	5.e-005	1.e-003	
90	-5.5556e-004	5.e-005	1.e-003	
91	-4.8148e-004	5.e-005	1.e-003	
92	-4.0741e-004	5.e-005	1.e-003	
93	-3.3333e-004	5.e-005	1.e-003	
94	-2.5926e-004	5.e-005	1.e-003	
95	-1.8519e-004	5.e-005	1.e-003	
96	-1.1111e-004	5.e-005	1.e-003	
97	-3.7037e-005	5.e-005	1.e-003	
98	3.7037e-005	5.e-005	1.e-003	
99	1.1111e-004	5.e-005	1.e-003	
100	1.8519e-004	5.e-005	1.e-003	
101	2.5926e-004	5.e-005	1.e-003	
102	3.3333e-004	5.e-005	1.e-003	
103	4.0741e-004	5.e-005	1.e-003	
104	4.8148e-004	5.e-005	1.e-003	
105	5.5556e-004	5.e-005	1.e-003	
106	6.2963e-004	5.e-005	1.e-003	
107	7.037e-004	5.e-005	1.e-003	
108	7.7778e-004	5.e-005	1.e-003	
109	8.5185e-004	5.e-005	1.e-003	
110	9.2593e-004	5.e-005	1.e-003	
111	-1.e-003	0.	-1.e-003	
112	-1.e-003	0.	9.2593e-004	
113	-1.e-003	0.	8.5185e-004	
114	-1.e-003	0.	7.7778e-004	
115	-1.e-003	0.	7.037e-004	
116	-1.e-003	0.	6.2963e-004	
117	-1.e-003	0.	5.5556e-004	
118	-1.e-003	0.	4.8148e-004	
119	-1.e-003	0.	4.0741e-004	
120	-1.e-003	0.	3.3333e-004	
121	-1.e-003	0.	2.5926e-004	
122	-1.e-003	0.	1.8519e-004	
123	-1.e-003	0.	1.1111e-004	
124	-1.e-003	0.	3.7037e-005	
125	-1.e-003	0.	-3.7037e-005	
126	-1.e-003	0.	-1.1111e-004	
127	-1.e-003	0.	-1.8519e-004	
128	-1.e-003	0.	-2.5926e-004	
129	-1.e-003	0.	-3.3333e-004	
130	-1.e-003	0.	-4.0741e-004	
131	-1.e-003	0.	-4.8148e-004	
132	-1.e-003	0.	-5.5556e-004	
133	-1.e-003	0.	-6.2963e-004	
134	-1.e-003	0.	-7.037e-004	
135	-1.e-003	0.	-7.7778e-004	
136	-1.e-003	0.	-8.5185e-004	
137	-1.e-003	0.	-9.2593e-004	
138	-1.e-003	5.e-005	-1.e-003	
139	-1.e-003	5.e-005	-9.2593e-004	
140	-1.e-003	5.e-005	-8.5185e-004	
141	-1.e-003	5.e-005	-7.7778e-004	
142	-1.e-003	5.e-005	-7.037e-004	
143	-1.e-003	5.e-005	-6.2963e-004	
